"SubjectId" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()"
1 "WALKING" 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.470412403511239 -0.717322274881844 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499568 -0.597496136795101 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.453632943768818 -0.497096402038329 -0.453632943768818 -0.497096402038329 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821
2 "WALKING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.557809603123841 -0.491875889831788 -0.741885388311258 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.634888927843046 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.783595466728477 -0.674611933293046 -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.58777744543543 -0.512115278415232 -0.614771054893146 -0.680584887880795
3 "WALKING" 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.635484688041056 -0.55721186773783 -0.796066240234604 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.699262195705865 -0.76302218170088 -0.709483440322581 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.689328428607038 -0.842659862111437 -0.743028500565982 -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472
4 "WALKING" 0.277034464752577 -0.0133496817746907 -0.105916135927835 -0.68386446609433 -0.589609330539691 -0.741959040257732 0.731456509896907 0.072347989306416 0.193993433768041 -0.967576704329897 -0.94170652321134 -0.936724233273196 0.0780162237953608 -0.0010311298138299 -0.00737070069603093 -0.701066737438144 -0.670976701376289 -0.859502524793814 -0.0298726752979381 -0.0750086556675258 0.0956607416628866 -0.750915960835052 -0.828888294742268 -0.745904225824742 -0.10509869233866 -0.0410624426912371 -0.060866534304433 -0.778479585721649 -0.911436316752577 -0.790578254329897 -0.637532979814948 -0.670122122716495 -0.637532979814948 -0.670122122716495 -0.72234055742268 -0.71024608685567 -0.708221087886598 -0.749105473365979
4 "WALKING_UPSTAIRS" 0.269685855146341 -0.0171085099442602 -0.110053359325203 -0.481157815330894 -0.384255322007236 -0.658285719430894 0.667377493902439 0.176064219895122 0.117030634772358 -0.954845868211382 -0.940959838617886 -0.948783616341463 0.080200587601626 0.0106812194621382 -0.00737856315243902 -0.522686832030976 -0.446980128646341 -0.817881987560976 -0.027473566188374 -0.0845813729861789 0.0958069867471545 -0.623295736308943 -0.749889456666667 -0.695570737073171 -0.112213469653659 -0.0384344734528455 -0.0529863681443902 -0.637528066829268 -0.888412003333333 -0.681795418349593 -0.441789745892683 -0.50629736504065 -0.441789745892683 -0.50629736504065 -0.551665062753089 -0.547890232756098 -0.574385249590244 -0.639915777398374
5 "WALKING" 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.575890535679801 -0.506544358609603 -0.78456199486755 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.709955676983444 -0.705638306688742 -0.606589817380795 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.662581310334437 -0.774114270364238 -0.564680771249007 -0.460866415568709 -0.52162345171192 -0.460866415568709 -0.52162345171192 -0.589313870006622 -0.589031268133113 -0.602770284825828 -0.664078383532781
6 "WALKING" 0.269434151902542 -0.0163911123936864 -0.117900692084746 -0.647669170333475 -0.553142396078856 -0.789845077542373 0.670506153601695 0.0612321366461864 0.0584702778558475 -0.95651898940678 -0.952613166822034 -0.940646609533898 0.0866435091149576 0.00183060788194915 -0.000810930989618644 -0.667198721502542 -0.627357097410593 -0.871721440720339 -0.0342840234147034 -0.0772570116263983 0.104308754638941 -0.767068673052966 -0.761438068516949 -0.723490206153814 -0.0919680285336017 -0.0437656755737288 -0.0571513411507627 -0.739023005 -0.82004406309322 -0.70638507157161 -0.619147950475381 -0.626787109835169 -0.619147950475381 -0.626787109835169 -0.701327652220339 -0.659452354576271 -0.690488145614407 -0.722636443516102
6 "WALKING_UPSTAIRS" 0.280179098426966 -0.0206949591117978 -0.110940029325843 -0.127000600558652 0.121465311011236 -0.361381608884045 0.736951892247191 -0.103190808202247 0.0184833048368539 -0.965208976741573 -0.946484614719101 -0.930654188651685 0.0674351008988764 -0.00310401228089888 -0.00609868840674157 -0.171553961355056 0.00409088203382023 -0.386900926617978 -0.067430938188764 -0.0529948418524719 0.0787625669280899 -0.35344952441573 -0.267781342044944 -0.272215022761798 -0.0589128557764045 -0.0500700364842697 -0.0433103259283146 -0.0342001184382022 -0.300014548011236 -0.0509923894251685 -0.0554082692382022 -0.104608866786517 -0.0554082692382022 -0.104608866786517 -0.153888888820225 -0.0879004446179775 -0.175624994910562 -0.201180788774157
7 "WALKING_UPSTAIRS" 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981 0.681289120844156 -0.0420221452496753 0.0342160711928604 -0.956538178587662 -0.955312554090909 -0.923304724090909 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.615131377408279 -0.622997416262013 -0.664336860544416 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.687155474097403 -0.652408657909091 -0.663340760331169 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.701731200484416 -0.674920114957468 -0.750808705594156 -0.511312036747403 -0.510669879158539 -0.511312036747403 -0.510669879158539 -0.622815767680292 -0.550560230585714 -0.581899897967532 -0.598670795839286
8 "WALKING_UPSTAIRS" 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167 0.647498175409253 0.0303211113118861 0.0836542406807936 -0.954256666035587 -0.94844645047331 -0.923180663601423 0.084215745375516 0.000860301581786477 -0.0196719912994306 -0.575993073911744 -0.458724925167972 -0.66835678475516 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.656219242281851 -0.570941237019217 -0.511392038012811 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.674984452240214 -0.683086930288968 -0.695970301754448 -0.468522592843416 -0.554038979266192 -0.468522592843416 -0.554038979266192 -0.534248616612028 -0.564471999961566 -0.476214943826192 -0.581422885341281
9 "WALKING_UPSTAIRS" 0.270313841621528 -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 -0.506111776081806 0.670845545555556 -0.0467446999509028 0.104353653032743 -0.958784666180556 -0.949938115208333 -0.920554317815972 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.578305161360069 -0.678923872274306 -0.721610094569444 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.676452392569444 -0.670498220701389 -0.587557692291458 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.7617108665625 -0.773273878854167 -0.744656038298611 -0.505183470509188 -0.553038255314792 -0.505183470509188 -0.553038255314792 -0.621608245092361 -0.608862145384722 -0.550201866572569 -0.663198385034722
